date,product_id,product_name,category,price,discount,units_sold,revenue,store_id,region
2023-01-01,P106,Bluetooth Speaker,Electronics,65588.88,15,14,780507.67,S08,North
2023-01-01,P406,Air Purifier,Home,11349.25,20,37,335937.8,S06,East
2023-01-01,P306,Mixed Nuts 500g,Grocery,349.92,30,154,37721.38,S08,West
2023-01-01,P201,Men Casual Shirt,Fashion,1959.7,10,24,42329.52,S05,West
2023-01-01,P102,Laptop Pro,Electronics,58724.56,0,11,645970.16,S01,East
2023-01-01,P103,Wireless Earbuds,Electronics,43970.2,20,13,457290.08,S04,West
2023-01-01,P106,Bluetooth Speaker,Electronics,16601.57,5,9,141943.42,S07,South
2023-01-01,P304,Organic Honey,Grocery,146.15,30,130,13299.65,S08,East
2023-01-01,P202,Women Kurti,Fashion,805.43,25,31,18726.25,S07,West
2023-01-01,P406,Air Purifier,Home,5343.1,30,320,1196854.4,S02,North
2023-01-01,P501,Face Moisturizer,Beauty,2755.95,40,42,69449.94,S08,South
2023-01-01,P101,Smartphone X1,Electronics,32537.35,15,13,359537.72,S06,East
2023-01-01,P202,Women Kurti,Fashion,3880.96,5,23,84798.98,S05,West
2023-01-02,P101,Smartphone X1,Electronics,59522.53,5,11,622010.44,S08,North
2023-01-02,P204,Sports Shoes,Fashion,1541.08,15,31,40607.46,S04,North
2023-01-02,P201,Men Casual Shirt,Fashion,2079.35,5,20,39507.65,S06,East
2023-01-02,P506,Perfume 100ml,Beauty,282.67,5,36,9667.31,S08,North
2023-01-02,P306,Mixed Nuts 500g,Grocery,472.82,25,118,41844.57,S06,West
2023-01-02,P101,Smartphone X1,Electronics,53052.65,40,9,286484.31,S07,West
2023-01-02,P202,Women Kurti,Fashion,396.92,20,27,8573.47,S01,North
2023-01-02,P204,Sports Shoes,Fashion,2655.03,0,13,34515.39,S09,South
2023-01-02,P402,Cotton Bedsheet,Home,868.61,0,19,16503.59,S08,North
2023-01-02,P102,Laptop Pro,Electronics,66893.4,40,14,561904.56,S08,North
2023-01-02,P501,Face Moisturizer,Beauty,547.58,5,28,14565.63,S05,West
2023-01-02,P405,LED Desk Lamp,Home,13147.4,40,21,165657.24,S07,East
2023-01-02,P404,Wooden Bookshelf,Home,13038.28,0,19,247727.32,S02,South
2023-01-03,P106,Bluetooth Speaker,Electronics,57281.19,30,11,441065.16,S01,South
2023-01-03,P101,Smartphone X1,Electronics,44596.14,30,8,249738.38,S03,North
2023-01-03,P103,Wireless Earbuds,Electronics,25744.78,30,6,108128.08,S09,East
2023-01-03,P405,LED Desk Lamp,Home,12906.98,0,21,271046.58,S02,West
2023-01-03,P101,Smartphone X1,Electronics,63178.82,10,7,398026.57,S05,North
2023-01-03,P406,Air Purifier,Home,12568.19,5,18,214916.05,S09,North
2023-01-03,P404,Wooden Bookshelf,Home,1634.09,0,15,24511.35,S09,South
2023-01-03,P503,Sunscreen SPF50,Beauty,1533.67,40,42,38648.48,S06,West
2023-01-03,P406,Air Purifier,Home,6601.71,10,25,148538.48,S01,East
2023-01-03,P302,Sunflower Oil 1L,Grocery,648.89,0,44,28551.16,S03,East
2023-01-03,P302,Sunflower Oil 1L,Grocery,527.5,0,49,25847.5,S07,East
2023-01-03,P406,Air Purifier,Home,1916.7,10,19,32775.57,S10,North
2023-01-03,P206,Summer Dress,Fashion,2586.83,0,20,51736.6,S06,East
2023-01-03,P501,Face Moisturizer,Beauty,167.67,15,29,4133.07,S02,North
2023-01-03,P505,Body Lotion,Beauty,1276.3,5,29,35162.06,S05,North
2023-01-04,P501,Face Moisturizer,Beauty,242.07,5,450,103484.92,S08,North
2023-01-04,P503,Sunscreen SPF50,Beauty,1914.88,10,23,39638.02,S04,East
2023-01-04,P301,Basmati Rice 5kg,Grocery,734.06,10,58,38317.93,S02,East
2023-01-04,P304,Organic Honey,Grocery,69.82,15,59,3501.47,S03,West
2023-01-04,P402,Cotton Bedsheet,Home,739.99,40,31,13763.81,S08,North
2023-01-04,P503,Sunscreen SPF50,Beauty,2906.33,30,39,79342.81,S06,East
2023-01-04,P303,Whole Wheat Flour,Grocery,471.41,5,59,26422.53,S10,West
2023-01-04,P201,Men Casual Shirt,Fashion,2969.37,0,21,62356.77,S06,West
2023-01-04,P201,Men Casual Shirt,Fashion,832.84,15,22,15574.11,S05,South
2023-01-04,P103,Wireless Earbuds,Electronics,43490.82,5,9,371846.51,S08,West
2023-01-04,P302,Sunflower Oil 1L,Grocery,796.24,5,70,52949.96,S02,West
2023-01-04,P204,Sports Shoes,Fashion,3891.07,25,19,55447.75,S07,South
2023-01-04,P206,Summer Dress,Fashion,2663.06,5,19,48068.23,S03,North
2023-01-04,P401,Stainless Steel Cookware,Home,7372.13,25,30,165872.92,S04,West
2023-01-04,P401,Stainless Steel Cookware,Home,3155.19,0,285,899229.15,S05,West
2023-01-04,P306,Mixed Nuts 500g,Grocery,657.21,5,62,38709.67,S01,East
2023-01-04,P503,Sunscreen SPF50,Beauty,1515.17,0,16,24242.72,S09,West
2023-01-05,P102,Laptop Pro,Electronics,59822.38,0,8,478579.04,S08,West
2023-01-05,P403,Wall Clock,Home,8728.93,0,17,148391.81,S04,South
2023-01-05,P104,Smart TV 43,Electronics,65141.05,10,10,586269.45,S01,West
2023-01-05,P503,Sunscreen SPF50,Beauty,1796.53,5,29,49494.4,S04,South
2023-01-05,P302,Sunflower Oil 1L,Grocery,730.47,0,70,51132.9,S02,North
2023-01-05,P501,Face Moisturizer,Beauty,887.09,25,34,22620.8,S08,East
2023-01-05,P302,Sunflower Oil 1L,Grocery,272.57,0,65,17717.05,S05,South
2023-01-05,P103,Wireless Earbuds,Electronics,47793.9,15,10,406248.15,S02,East
2023-01-05,P402,Cotton Bedsheet,Home,378.65,5,19,6834.63,S03,South
2023-01-05,P505,Body Lotion,Beauty,587.09,0,30,17612.7,S03,North
2023-01-05,P102,Laptop Pro,Electronics,30584.12,25,9,206442.81,S09,West
2023-01-05,P401,Stainless Steel Cookware,Home,8476.76,20,26,176316.61,S06,East
2023-01-05,P304,Organic Honey,Grocery,531.06,10,72,34412.69,S06,South
2023-01-05,P505,Body Lotion,Beauty,561.3,30,30,11787.3,S05,South
2023-01-06,P502,Hair Serum,Beauty,1484.6,5,31,43721.47,S07,West
2023-01-06,P403,Wall Clock,Home,3921.22,10,29,102343.84,S01,North
2023-01-06,P202,Women Kurti,Fashion,687.95,30,31,14928.51,S08,North
2023-01-06,P306,Mixed Nuts 500g,Grocery,460.61,15,80,31321.48,S05,South
2023-01-06,P306,Mixed Nuts 500g,Grocery,570.53,20,63,28754.71,S04,South
2023-01-06,P302,Sunflower Oil 1L,Grocery,167.44,15,89,12666.84,S04,West
2023-01-06,P502,Hair Serum,Beauty,2250.16,10,31,62779.46,S10,North
2023-01-06,P504,Lipstick Set,Beauty,710.21,25,41,21838.96,S08,North
2023-01-06,P101,Smartphone X1,Electronics,14551.59,5,9,124416.09,S08,South
2023-01-06,P504,Lipstick Set,Beauty,965.48,15,34,27902.37,S04,East
2023-01-06,P203,Denim Jeans,Fashion,3352.79,0,28,93878.12,S01,North
2023-01-06,P302,Sunflower Oil 1L,Grocery,751.61,0,70,52612.7,S10,South
2023-01-06,P106,Bluetooth Speaker,Electronics,44236.64,0,8,353893.12,S07,West
2023-01-06,P402,Cotton Bedsheet,Home,13225.46,0,25,330636.5,S06,North
2023-01-06,P103,Wireless Earbuds,Electronics,8424.49,40,11,55601.63,S07,West
2023-01-06,P304,Organic Honey,Grocery,305.53,30,87,18606.78,S10,North
2023-01-07,P306,Mixed Nuts 500g,Grocery,300.56,25,135,30431.7,S06,West
2023-01-07,P203,Denim Jeans,Fashion,550.37,15,38,17776.95,S01,South
2023-01-07,P502,Hair Serum,Beauty,766.97,20,43,26383.77,S08,South
2023-01-07,P103,Wireless Earbuds,Electronics,49482.62,10,11,489877.94,S07,West
2023-01-07,P302,Sunflower Oil 1L,Grocery,66.28,40,149,5925.43,S04,East
2023-01-07,P302,Sunflower Oil 1L,Grocery,415.2,25,130,40482.0,S06,North
2023-01-07,P206,Summer Dress,Fashion,2934.17,20,22,51641.39,S07,South
2023-01-07,P301,Basmati Rice 5kg,Grocery,405.7,25,78,23733.45,S09,South
2023-01-07,P206,Summer Dress,Fashion,477.95,30,28,9367.82,S03,South
2023-01-07,P105,Tablet Z2,Electronics,32593.77,30,16,365050.22,S02,West
2023-01-07,P505,Body Lotion,Beauty,296.06,0,51,15099.06,S04,West
2023-01-08,P306,Mixed Nuts 500g,Grocery,576.96,30,104,42002.69,S07,West
2023-01-08,P103,Wireless Earbuds,Electronics,8964.57,0,10,89645.7,S02,East
2023-01-08,P102,Laptop Pro,Electronics,28886.23,5,9,246977.27,S08,West
2023-01-08,P503,Sunscreen SPF50,Beauty,1118.01,0,33,36894.33,S08,West
2023-01-08,P402,Cotton Bedsheet,Home,12393.41,5,18,211927.31,S09,South
2023-01-08,P303,Whole Wheat Flour,Grocery,587.32,0,77,45223.64,S10,South
2023-01-08,P206,Summer Dress,Fashion,2512.28,10,28,63309.46,S05,South
2023-01-08,P406,Air Purifier,Home,3814.55,40,32,73239.36,S09,East
2023-01-08,P406,Air Purifier,Home,7296.39,0,31,226188.09,S01,West
2023-01-08,P103,Wireless Earbuds,Electronics,46108.71,15,16,627078.46,S01,North
2023-01-08,P503,Sunscreen SPF50,Beauty,1581.55,0,29,45864.95,S05,East
2023-01-08,P203,Denim Jeans,Fashion,1187.37,10,21,22441.29,S02,East
2023-01-08,P406,Air Purifier,Home,5492.74,40,52,171373.49,S01,East
2023-01-08,P305,Green Tea Pack,Grocery,332.87,0,86,28626.82,S02,North
2023-01-08,P202,Women Kurti,Fashion,2480.74,10,35,78143.31,S05,South
2023-01-08,P305,Green Tea Pack,Grocery,81.09,15,99,6823.72,S08,West
2023-01-08,P106,Bluetooth Speaker,Electronics,54043.34,40,20,648520.08,S02,North
2023-01-09,P201,Men Casual Shirt,Fashion,2796.51,5,25,66417.11,S01,North
2023-01-09,P505,Body Lotion,Beauty,995.89,10,26,23303.83,S05,North
2023-01-09,P202,Women Kurti,Fashion,4398.94,5,23,96116.84,S10,West
2023-01-09,P104,Smart TV 43,Electronics,42104.22,0,7,294729.54,S03,North
2023-01-09,P201,Men Casual Shirt,Fashion,2619.82,10,20,47156.76,S03,North
2023-01-09,P205,Formal Blazer,Fashion,4513.93,40,35,94792.53,S07,West
2023-01-09,P101,Smartphone X1,Electronics,42970.61,30,9,270714.84,S07,North
2023-01-09,P205,Formal Blazer,Fashion,2055.55,30,33,47483.21,S05,West
2023-01-09,P303,Whole Wheat Flour,Grocery,666.98,20,69,36817.3,S05,South
2023-01-09,P104,Smart TV 43,Electronics,69414.02,0,6,416484.12,S05,East
2023-01-09,P402,Cotton Bedsheet,Home,14261.94,15,18,218207.68,S09,South
2023-01-09,P503,Sunscreen SPF50,Beauty,1023.15,5,22,21383.83,S06,South
2023-01-09,P104,Smart TV 43,Electronics,36677.06,5,10,348432.07,S06,South
2023-01-09,P201,Men Casual Shirt,Fashion,1043.57,10,20,18784.26,S05,West
2023-01-09,P403,Wall Clock,Home,14057.57,5,26,347221.98,S05,North
2023-01-09,P102,Laptop Pro,Electronics,7731.9,15,10,65721.15,S08,West
2023-01-09,P501,Face Moisturizer,Beauty,1795.53,15,39,59521.82,S08,North
2023-01-09,P306,Mixed Nuts 500g,Grocery,199.41,0,66,13161.06,S04,East
2023-01-10,P506,Perfume 100ml,Beauty,1025.16,0,22,22553.52,S07,East
2023-01-10,P506,Perfume 100ml,Beauty,513.74,25,34,13100.37,S03,South
2023-01-10,P303,Whole Wheat Flour,Grocery,168.65,15,107,15338.72,S01,North
2023-01-10,P106,Bluetooth Speaker,Electronics,18917.49,40,10,113504.94,S03,South
2023-01-10,P302,Sunflower Oil 1L,Grocery,387.67,40,107,24888.41,S06,West
2023-01-10,P104,Smart TV 43,Electronics,26387.55,5,7,175477.21,S07,North
2023-01-10,P204,Sports Shoes,Fashion,3513.79,0,24,84330.96,S08,South
2023-01-10,P401,Stainless Steel Cookware,Home,9638.6,20,18,138795.84,S06,West
2023-01-10,P406,Air Purifier,Home,3537.26,10,22,70037.75,S06,East
2023-01-10,P501,Face Moisturizer,Beauty,1677.56,5,37,58966.23,S06,South
2023-01-10,P205,Formal Blazer,Fashion,2203.82,40,28,37024.18,S05,West
2023-01-10,P304,Organic Honey,Grocery,517.1,40,98,30405.48,S02,East
